epoch,n_active,fee_rate_applied,fee_rate_next,fee_convergence_streak,listing_revenue_ergs,suspensions,tasks_posted,unmatched,funding_failures,funded,withdrawn,settled,failed_verification,pass_rate,settled_volume_ergs,credit_outstanding_ergs,credit_to_volume,positive_supply_ergs,feepool_balance_ergs,cost_ergs,defaults,socialized_ergs,socialization_rate,dispute_rate,overturns,qualified_epoch,qualified_capped_cum,act_agents_ok,act_settlements_ok,act_fee_ok,act_principals_ok,act_origin_ok,activated,monoculture_hhi,wash_flagged,wash_false_pos,wash_fp_residual,mean_rate_ergs,rate_cv,price_quality_corr,basket_mean_difficulty,scu_index,median_agent_pass_est,auditor_seeded,auditor_detected,auditor_recall,probes,cascade_tasks,markup_honest,markup_overstater,markup_understater,markup_adaptive,marginal_listed,invariant_violations
1,246,0.010000,0.007732,0,130.775,0,1107,100,9,998,12,636,350,0.6450,12031.449,5377.675,0.4470,5126.892,26.983,223.800,0,0.000,0.00000,0.0172,6,439,439,1,0,0,1,1,0,0.3101,5,5,0,20.197,0.2897,-0.3238,-0.0114,0.000000,0.5616,19,18,0.9474,1968,141,1.1486,2.1231,0.6447,1.1579,0,0
2,246,0.007732,0.006977,1,140.448,0,1015,1,20,994,14,609,371,0.6214,11365.485,8401.767,0.7392,7922.961,35.256,219.750,0,0.000,0.00000,0.0204,8,423,862,1,0,0,1,1,0,0.3123,9,9,0,20.190,0.2931,-0.2671,-0.0114,0.000000,0.5892,19,15,0.7895,1968,119,1.1486,2.1231,0.6447,1.1473,0,0
3,246,0.006977,0.006857,2,146.780,0,1081,0,16,1065,13,670,382,0.6369,11975.475,11145.128,0.9307,10436.316,36.362,228.900,0,0.000,0.00000,0.0257,9,463,1325,1,0,0,1,1,0,0.3187,24,24,2,20.265,0.2934,-0.2632,-0.0114,0.000000,0.5835,22,20,0.9091,1968,160,1.1486,2.1231,0.6447,1.1876,0,0
4,246,0.006857,0.006263,3,150.103,1,997,0,17,980,12,598,370,0.6178,10857.610,13350.189,1.2296,12417.116,42.523,218.100,0,0.000,0.00000,0.0186,7,408,1733,1,0,1,1,1,0,0.3171,30,30,5,20.336,0.2947,-0.2451,-0.0114,0.000000,0.5977,21,17,0.8095,1968,137,1.1486,2.1231,0.6447,1.2181,0,0
5,246,0.006263,0.006485,4,149.118,2,1247,240,23,984,11,600,373,0.6166,10684.154,15589.089,1.4591,14440.281,39.858,218.400,0,0.000,0.00000,0.0206,3,441,2174,1,0,1,1,1,0,0.3188,28,28,3,20.387,0.2994,-0.2185,-0.0114,0.000000,0.5959,10,8,0.8000,1968,371,1.1486,2.1231,0.6447,1.2379,0,0
6,246,0.006485,0.007526,5,147.552,3,1276,118,130,1028,8,650,370,0.6373,10409.749,17535.092,1.6845,16171.559,28.683,225.900,0,0.000,0.00000,0.0284,15,456,2630,1,0,1,1,1,0,0.3200,49,49,3,20.419,0.3030,-0.2036,0.2753,0.286676,0.5383,18,16,0.8889,1968,386,1.1486,2.1231,0.6447,1.2707,0,0
7,246,0.007526,0.006700,6,148.705,3,1313,0,250,1063,9,614,440,0.5825,10715.630,19216.950,1.7934,17445.722,37.231,220.500,0,0.000,0.00000,0.0228,6,417,3047,1,0,1,1,1,0,0.3178,34,34,3,20.543,0.3093,-0.1631,0.2753,0.286676,0.5280,16,16,1.0000,1968,388,1.1486,2.1231,0.6447,1.3296,0,0
8,245,0.006700,0.006764,7,147.504,5,1256,0,253,1003,8,556,439,0.5588,9446.005,20761.311,2.1979,18779.575,36.339,211.400,0,0.000,0.00000,0.0191,7,372,3419,1,0,1,1,1,0,0.3377,22,22,1,20.494,0.3054,-0.1540,0.2753,0.286676,0.5423,18,17,0.9444,1960,367,1.1494,2.1224,0.6447,1.3753,0,0
9,245,0.006764,0.006683,8,147.329,5,1266,0,248,1018,10,563,445,0.5585,9743.692,21810.258,2.2384,19615.555,36.856,212.450,0,0.000,0.00000,0.0198,4,393,3812,1,0,1,1,1,0,0.3216,3,3,0,20.517,0.3154,-0.1373,0.2753,0.286676,0.5476,22,20,0.9091,1960,362,1.1494,2.1224,0.6447,1.3855,0,0
10,245,0.006683,0.006900,9,146.603,8,1255,0,269,986,10,578,398,0.5922,9869.253,22519.763,2.2818,20003.596,34.428,214.700,1,0.000,0.00000,0.0277,7,382,4194,1,0,1,1,1,0,0.3312,2,2,0,20.439,0.3158,-0.1173,0.2753,0.286676,0.5641,26,26,1.0000,1960,396,1.1502,2.1287,0.6447,1.3788,0,0
11,243,0.006900,0.007306,10,144.368,11,1322,0,270,1052,6,622,424,0.5946,10421.165,23454.988,2.2507,20722.861,29.888,220.500,0,0.000,0.00000,0.0153,5,404,4598,1,0,1,1,1,0,0.3336,17,17,0,20.429,0.3206,-0.1211,0.2753,0.286676,0.5493,18,14,0.7778,1944,404,1.1499,2.1287,0.6447,1.3941,0,0
12,243,0.007306,0.007180,11,144.299,15,1187,0,241,946,12,590,344,0.6317,9944.461,24445.119,2.4582,21496.345,30.835,215.700,0,0.000,0.00000,0.0225,7,409,5007,1,1,1,1,1,1,0.3283,33,33,1,20.402,0.3187,-0.1189,0.2753,0.286676,0.5739,18,17,0.9444,1944,337,1.1503,2.1287,0.6447,1.4153,0,0
13,243,0.007180,0.007097,12,144.121,16,1265,0,270,995,8,591,396,0.5988,10107.503,25351.516,2.5082,22186.345,31.382,215.850,0,0.000,0.00000,0.0213,11,393,5400,1,1,1,1,1,1,0.3308,39,39,4,20.447,0.3207,-0.1028,0.2753,0.286676,0.5674,22,21,0.9545,1944,390,1.1506,2.1287,0.6447,1.4472,0,0
14,243,0.007097,0.007291,13,143.493,19,1281,0,278,1003,8,604,391,0.6070,10192.168,26193.059,2.5699,22812.354,29.116,217.800,0,0.000,0.00000,0.0261,7,389,5789,1,1,1,1,1,1,0.3404,13,13,2,20.421,0.3232,-0.0915,0.2753,0.286676,0.5718,22,21,0.9545,1944,393,1.1511,2.1287,0.6447,1.4467,0,0
